1,Highway to Hell,AC/DC,3:28
2,Walk All Over You,AC/DC,5:09
3,Beating Around The Bush,AC/DC,3:56
4,Get It Hot,AD/DC,2:34
5,Love Hungry Man,AC/DC,4:17
